Course name,Mean rank,Final rank position
ACC 6400 Advanced Tax Business Entities,2.4,1
ACC 6300 Data Analytics,3.545,2
ACC 6560 Financial Theory & Research I,4.473,3
ACC 6060 Professionalism and Leadership,4.691,4
ACC 6510 Financial Audit,4.818,5
ACC 6600 Business Law for Accountants,5.091,6
ACC 6350 Management Control Systems,5.127,7
ACC 6540 Professional Ethics,5.855,8
